iterations,voters,mean,mean_bucket,std,std_bucket,simple_majority_optimal,minority_decisiveness_optimal,non_tyrannic_minority_decisiveness_optimal,majority_tyranny_optimal,minority_tyranny_optimal,expert_tyranny_optimal,minority_colluding,optimal_correct,majority_correct,expert_correct,compromise_minority_correct,compromose_strongmajority_correct,optimal_agrees_majority,compromise_minority_agrees_majority,compromise_minority_agrees_optimal,compromose_strongmajority_agrees_majority,compromose_strongmajority_agrees_optimal
1000,5,0.55,,0.02,,0.316,0.684,0.684,0.143,0,0,0.495,0.601,0.599,0.585,0.596,0.601,0.912,0.953,0.959,0.912,1
1000,5,0.55,,0.03,,0.113,0.887,0.864,0.327,0.023,0.023,0.507,0.612,0.592,0.594,0.606,0.61,0.866,0.948,0.918,0.868,0.998
1000,5,0.55,,0.04,,0.074,0.926,0.886,0.403,0.04,0.04,0.503,0.611,0.589,0.621,0.602,0.608,0.874,0.947,0.927,0.877,0.997
1000,5,0.55,,0.06,,0.04,0.96,0.878,0.455,0.082,0.082,0.519,0.631,0.605,0.619,0.619,0.63,0.862,0.954,0.908,0.867,0.995
1000,5,0.55,,0.07,,0.041,0.959,0.871,0.487,0.088,0.088,0.53,0.692,0.659,0.669,0.671,0.695,0.839,0.944,0.895,0.846,0.993
1000,5,0.55,,0.08,,0.042,0.958,0.858,0.496,0.1,0.1,0.528,0.714,0.677,0.678,0.692,0.715,0.831,0.935,0.896,0.84,0.991
1000,5,0.55,,0.1,,0.028,0.972,0.845,0.54,0.127,0.127,0.552,0.719,0.711,0.711,0.716,0.723,0.864,0.951,0.913,0.87,0.994
1000,5,0.55,,0.11,,0.033,0.967,0.826,0.513,0.141,0.141,0.571,0.737,0.71,0.701,0.727,0.737,0.865,0.949,0.916,0.869,0.996
1000,5,0.55,,0.12,,0.031,0.969,0.837,0.526,0.132,0.132,0.565,0.766,0.719,0.726,0.744,0.764,0.849,0.953,0.896,0.861,0.988
1000,5,0.6,,0.02,,0.875,0.125,0.125,0,0,0,0.491,0.671,0.675,0.629,0.671,0.671,0.99,0.99,1,0.99,1
1000,5,0.6,,0.03,,0.515,0.485,0.485,0.046,0,0,0.556,0.686,0.682,0.642,0.683,0.686,0.956,0.971,0.985,0.956,1
1000,5,0.6,,0.04,,0.261,0.739,0.737,0.141,0.002,0.002,0.532,0.703,0.704,0.664,0.704,0.703,0.921,0.954,0.967,0.921,1
1000,5,0.6,,0.06,,0.097,0.903,0.89,0.319,0.013,0.013,0.572,0.717,0.709,0.652,0.717,0.717,0.888,0.95,0.938,0.888,1
1000,5,0.6,,0.07,,0.108,0.892,0.863,0.381,0.029,0.029,0.565,0.721,0.703,0.686,0.715,0.72,0.91,0.952,0.958,0.911,0.999
1000,5,0.6,,0.08,,0.071,0.929,0.882,0.418,0.047,0.047,0.566,0.739,0.723,0.686,0.735,0.736,0.884,0.948,0.936,0.887,0.997
1000,5,0.6,,0.1,,0.058,0.942,0.856,0.47,0.086,0.086,0.582,0.755,0.709,0.716,0.732,0.752,0.854,0.943,0.911,0.861,0.993
1000,5,0.6,,0.11,,0.053,0.947,0.851,0.481,0.096,0.096,0.579,0.753,0.739,0.729,0.745,0.754,0.876,0.95,0.926,0.879,0.997
1000,5,0.6,,0.12,,0.037,0.963,0.866,0.489,0.097,0.097,0.6,0.796,0.759,0.778,0.782,0.795,0.895,0.961,0.934,0.902,0.993
1000,5,0.7,,0.02,,1,0,0,0,0,0,0.583,0.826,0.826,0.72,0.826,0.826,1,1,1,1,1
1000,5,0.7,,0.03,,0.962,0.038,0.038,0,0,0,0.571,0.849,0.849,0.731,0.849,0.849,0.998,0.998,1,0.998,1
1000,5,0.7,,0.04,,0.824,0.176,0.176,0.006,0,0,0.6,0.835,0.834,0.76,0.837,0.835,0.993,0.995,0.998,0.993,1
1000,5,0.7,,0.06,,0.408,0.592,0.592,0.077,0,0,0.624,0.837,0.832,0.784,0.839,0.837,0.951,0.967,0.984,0.951,1
1000,5,0.7,,0.07,,0.284,0.716,0.714,0.151,0.002,0.002,0.634,0.843,0.821,0.798,0.832,0.843,0.952,0.979,0.973,0.952,1
1000,5,0.7,,0.08,,0.215,0.785,0.78,0.189,0.005,0.005,0.641,0.851,0.842,0.792,0.844,0.851,0.941,0.97,0.971,0.941,1
1000,5,0.7,,0.1,,0.127,0.873,0.839,0.297,0.034,0.034,0.668,0.874,0.856,0.827,0.864,0.872,0.934,0.974,0.96,0.936,0.998
1000,5,0.7,,0.11,,0.106,0.894,0.849,0.344,0.045,0.045,0.657,0.862,0.838,0.838,0.847,0.863,0.924,0.971,0.953,0.927,0.997
1000,5,0.7,,0.12,,0.075,0.925,0.861,0.364,0.064,0.064,0.692,0.874,0.856,0.835,0.872,0.874,0.928,0.962,0.966,0.93,0.998
1000,5,0.75,,0.02,,1,0,0,0,0,0,0.65,0.9,0.9,0.761,0.9,0.9,1,1,1,1,1
1000,5,0.75,,0.03,,0.989,0.011,0.011,0,0,0,0.639,0.906,0.906,0.795,0.906,0.906,1,1,1,1,1
1000,5,0.75,,0.04,,0.887,0.113,0.113,0.002,0,0,0.659,0.911,0.91,0.776,0.911,0.911,0.995,0.995,1,0.995,1
1000,5,0.75,,0.06,,0.548,0.452,0.452,0.04,0,0,0.69,0.901,0.9,0.825,0.9,0.901,0.989,0.994,0.995,0.989,1
1000,5,0.75,,0.07,,0.386,0.614,0.614,0.079,0,0,0.667,0.922,0.907,0.835,0.918,0.922,0.979,0.989,0.99,0.979,1
1000,5,0.75,,0.08,,0.274,0.726,0.724,0.119,0.002,0.002,0.668,0.898,0.887,0.831,0.895,0.898,0.957,0.976,0.981,0.957,1
1000,5,0.75,,0.1,,0.15,0.85,0.818,0.243,0.032,0.032,0.731,0.914,0.889,0.866,0.91,0.914,0.949,0.969,0.98,0.949,1
1000,5,0.75,,0.11,,0.114,0.886,0.851,0.281,0.035,0.035,0.738,0.902,0.871,0.856,0.884,0.902,0.937,0.969,0.968,0.937,1
1000,5,0.75,,0.12,,0.096,0.904,0.855,0.317,0.049,0.049,0.743,0.925,0.901,0.869,0.918,0.925,0.942,0.971,0.971,0.942,1
1000,5,0.8,,0.02,,1,0,0,0,0,0,0.709,0.94,0.94,0.805,0.94,0.94,1,1,1,1,1
1000,5,0.8,,0.03,,0.994,0.006,0.006,0,0,0,0.725,0.935,0.935,0.84,0.935,0.935,1,1,1,1,1
1000,5,0.8,,0.04,,0.935,0.065,0.065,0.001,0,0,0.703,0.936,0.935,0.844,0.936,0.936,0.997,0.997,1,0.997,1
1000,5,0.8,,0.06,,0.604,0.396,0.396,0.034,0,0,0.747,0.94,0.933,0.869,0.937,0.94,0.989,0.994,0.995,0.989,1
1000,5,0.8,,0.07,,0.447,0.553,0.551,0.057,0.002,0.002,0.765,0.946,0.941,0.896,0.941,0.946,0.989,0.994,0.995,0.989,1
1000,5,0.8,,0.08,,0.357,0.643,0.637,0.082,0.006,0.006,0.768,0.946,0.943,0.887,0.945,0.946,0.977,0.988,0.989,0.977,1
1000,5,0.8,,0.1,,0.187,0.813,0.788,0.196,0.025,0.025,0.762,0.945,0.933,0.894,0.94,0.945,0.97,0.981,0.989,0.97,1
1000,5,0.8,,0.11,,0.15,0.85,0.827,0.241,0.023,0.023,0.785,0.941,0.939,0.888,0.939,0.941,0.97,0.984,0.986,0.972,0.998
1000,5,0.8,,0.12,,0.106,0.894,0.859,0.276,0.035,0.035,0.792,0.955,0.937,0.918,0.947,0.955,0.958,0.98,0.978,0.958,1
1000,5,0.9,,0.02,,1,0,0,0,0,0,0.843,0.991,0.991,0.931,0.991,0.991,1,1,1,1,1
1000,5,0.9,,0.03,,0.956,0.044,0.044,0.003,0,0,0.86,0.992,0.992,0.928,0.992,0.992,1,1,1,1,1
1000,5,0.9,,0.04,,0.838,0.162,0.162,0.007,0,0,0.866,0.995,0.993,0.94,0.994,0.995,0.998,0.999,0.999,0.998,1
1000,5,0.9,,0.06,,0.512,0.488,0.486,0.05,0.002,0.002,0.872,0.991,0.989,0.959,0.991,0.991,0.996,0.996,1,0.996,1
1000,5,0.9,,0.07,,0.435,0.565,0.562,0.045,0.003,0.003,0.88,0.989,0.986,0.965,0.988,0.989,0.995,0.998,0.997,0.995,1
1000,5,0.9,,0.08,,0.35,0.65,0.645,0.092,0.005,0.005,0.923,0.988,0.983,0.965,0.985,0.988,0.995,0.998,0.997,0.995,1
1000,5,0.9,,0.1,,0.253,0.747,0.741,0.126,0.006,0.006,0.885,0.987,0.985,0.958,0.988,0.987,0.994,0.997,0.997,0.994,1
1000,5,0.9,,0.11,,0.203,0.797,0.788,0.141,0.009,0.009,0.882,0.98,0.971,0.957,0.976,0.98,0.985,0.993,0.992,0.985,1
1000,5,0.9,,0.12,,0.175,0.825,0.812,0.157,0.013,0.013,0.867,0.983,0.979,0.956,0.982,0.983,0.988,0.995,0.993,0.988,1
1000,5,0.95,,0.02,,0.956,0.044,0.044,0.002,0,0,0.937,0.998,0.998,0.967,0.998,0.998,1,1,1,1,1
1000,5,0.95,,0.03,,0.765,0.235,0.235,0.016,0,0,0.938,0.999,0.999,0.974,0.999,0.999,1,1,1,1,1
1000,5,0.95,,0.04,,0.659,0.341,0.341,0.038,0,0,0.945,0.998,0.998,0.976,0.998,0.998,1,1,1,1,1
1000,5,0.95,,0.06,,0.471,0.529,0.526,0.055,0.003,0.003,0.932,0.995,0.994,0.975,0.994,0.995,0.997,0.998,0.999,0.997,1
1000,5,0.95,,0.07,,0.415,0.585,0.581,0.064,0.004,0.004,0.926,0.997,0.998,0.981,0.997,0.997,0.997,0.999,0.998,0.997,1
1000,5,0.95,,0.08,,0.374,0.626,0.624,0.067,0.002,0.002,0.929,0.998,0.995,0.971,0.998,0.998,0.997,0.997,1,0.997,1
1000,5,0.95,,0.1,,0.265,0.735,0.729,0.114,0.006,0.006,0.924,0.992,0.99,0.968,0.991,0.992,0.996,0.997,0.999,0.996,1
1000,5,0.95,,0.11,,0.222,0.778,0.771,0.121,0.007,0.007,0.921,0.995,0.995,0.979,0.995,0.995,1,1,1,1,1
1000,5,0.95,,0.12,,0.211,0.789,0.785,0.133,0.004,0.004,0.904,0.988,0.983,0.965,0.987,0.988,0.991,0.994,0.997,0.991,1
1000,5,1,,0.02,,0.761,0.239,0.239,0.018,0,0,0.992,1,1,0.997,1,1,1,1,1,1,1
1000,5,1,,0.03,,0.652,0.348,0.348,0.019,0,0,0.984,1,1,0.993,1,1,1,1,1,1,1
1000,5,1,,0.04,,0.591,0.409,0.409,0.023,0,0,0.984,0.996,0.996,0.991,0.996,0.996,1,1,1,1,1
1000,5,1,,0.06,,0.5,0.5,0.5,0.037,0,0,0.958,1,1,0.99,1,1,1,1,1,1,1
1000,5,1,,0.07,,0.439,0.561,0.56,0.056,0.001,0.001,0.953,0.997,0.997,0.982,0.997,0.997,1,1,1,1,1
1000,5,1,,0.08,,0.391,0.609,0.608,0.055,0.001,0.001,0.958,1,1,0.99,1,1,1,1,1,1,1
1000,5,1,,0.1,,0.313,0.687,0.686,0.086,0.001,0.001,0.934,0.996,0.993,0.976,0.996,0.996,0.997,0.997,1,0.997,1
1000,5,1,,0.11,,0.263,0.737,0.73,0.106,0.007,0.007,0.93,0.995,0.996,0.981,0.995,0.995,0.999,0.999,1,0.999,1
1000,5,1,,0.12,,0.245,0.755,0.749,0.119,0.006,0.006,0.922,0.997,0.997,0.982,0.997,0.997,0.998,0.998,1,0.998,1
1000,7,0.5,,0.02,,0.001,0.999,0.962,0.315,0.037,0.016,0.271,0.547,0.538,0.53,0.543,0.544,0.809,0.975,0.834,0.822,0.987
1000,7,0.5,,0.03,,0,1,0.961,0.341,0.039,0.02,0.268,0.575,0.574,0.566,0.574,0.571,0.795,0.986,0.809,0.819,0.976
1000,7,0.5,,0.04,,0,1,0.954,0.359,0.046,0.03,0.276,0.595,0.586,0.572,0.589,0.596,0.823,0.985,0.838,0.84,0.983
1000,7,0.5,,0.06,,0,1,0.957,0.368,0.043,0.024,0.237,0.626,0.617,0.559,0.621,0.624,0.811,0.982,0.829,0.825,0.986
1000,7,0.5,,0.07,,0,1,0.951,0.358,0.049,0.026,0.269,0.649,0.614,0.623,0.614,0.643,0.841,0.988,0.853,0.861,0.98
1000,7,0.5,,0.08,,0.001,0.999,0.952,0.347,0.047,0.022,0.265,0.683,0.656,0.653,0.658,0.683,0.829,0.99,0.839,0.849,0.98
1000,7,0.5,,0.1,,0,1,0.954,0.368,0.046,0.03,0.297,0.699,0.662,0.654,0.668,0.697,0.819,0.988,0.831,0.845,0.974
1000,7,0.5,,0.11,,0,1,0.938,0.354,0.062,0.044,0.332,0.72,0.686,0.695,0.696,0.719,0.82,0.986,0.834,0.839,0.981
1000,7,0.5,,0.12,,0.001,0.999,0.927,0.368,0.072,0.043,0.327,0.741,0.696,0.718,0.694,0.736,0.829,0.984,0.845,0.856,0.973
1000,7,0.55,,0.02,,0.039,0.961,0.961,0.054,0,0,0.267,0.594,0.59,0.572,0.586,0.594,0.904,0.982,0.922,0.906,0.998
1000,7,0.55,,0.03,,0.011,0.989,0.988,0.161,0.001,0,0.262,0.612,0.585,0.596,0.586,0.614,0.869,0.983,0.886,0.875,0.994
1000,7,0.55,,0.04,,0.002,0.998,0.988,0.197,0.01,0.002,0.265,0.659,0.65,0.625,0.656,0.655,0.863,0.978,0.885,0.867,0.996
1000,7,0.55,,0.06,,0.004,0.996,0.984,0.263,0.012,0.004,0.294,0.676,0.652,0.648,0.66,0.675,0.866,0.986,0.88,0.877,0.989
1000,7,0.55,,0.07,,0.002,0.998,0.974,0.295,0.024,0.007,0.283,0.667,0.631,0.63,0.636,0.67,0.828,0.979,0.849,0.839,0.989
1000,7,0.55,,0.08,,0.001,0.999,0.971,0.282,0.028,0.012,0.302,0.709,0.638,0.693,0.655,0.706,0.821,0.975,0.846,0.832,0.989
1000,7,0.55,,0.1,,0.001,0.999,0.969,0.294,0.03,0.014,0.332,0.742,0.694,0.695,0.703,0.739,0.826,0.979,0.847,0.845,0.981
