voters,mean,std,true_mean,majority_correct,d_majority_correct_d_voters,majority_correct_minus_true_mean,optimal_correct,optimal_correct_minus_majority_correct
31,0.75,0.087,0.75,0.998,0.004,0.248,1.0,0.002
41,0.75,0.087,0.75,1.0,0.001,0.25,1.0,0.0
51,0.75,0.087,0.75,1.0,0.0,0.25,1.0,0.0
3,0.75,0.139,0.75,0.872,0.0,0.122,0.897,0.025
5,0.75,0.139,0.75,0.908,0.018,0.158,0.946,0.038
7,0.75,0.139,0.75,0.944,0.018,0.194,0.975,0.031
9,0.75,0.139,0.75,0.943,-0.001,0.193,0.981,0.038
11,0.75,0.139,0.75,0.972,0.015,0.222,0.984,0.012
21,0.75,0.139,0.75,0.993,0.011,0.243,0.999,0.006
31,0.75,0.139,0.75,0.997,0.002,0.247,1.0,0.003
41,0.75,0.139,0.75,1.0,0.002,0.25,1.0,0.0
51,0.75,0.139,0.75,1.0,0.0,0.25,1.0,0.0
3,0.8,0.058,0.8,0.906,0.0,0.106,0.904,-0.002
5,0.8,0.058,0.8,0.951,0.022,0.151,0.948,-0.003
7,0.8,0.058,0.8,0.969,0.009,0.169,0.966,-0.003
9,0.8,0.058,0.8,0.978,0.005,0.178,0.977,-0.001
11,0.8,0.058,0.8,0.986,0.004,0.186,0.986,0.0
21,0.8,0.058,0.8,0.998,0.006,0.198,0.998,0.0
31,0.8,0.058,0.8,1.0,0.001,0.2,1.0,0.0
41,0.8,0.058,0.8,1.0,0.0,0.2,1.0,0.0
51,0.8,0.058,0.8,1.0,0.0,0.2,1.0,0.0
3,0.8,0.113,0.8,0.889,0.0,0.089,0.913,0.024
5,0.8,0.113,0.8,0.967,0.039,0.167,0.975,0.008
7,0.8,0.113,0.8,0.962,-0.003,0.162,0.978,0.016
9,0.8,0.113,0.8,0.981,0.01,0.181,0.989,0.008
11,0.8,0.113,0.8,0.987,0.003,0.187,0.995,0.008
21,0.8,0.113,0.8,0.999,0.006,0.199,0.998,-0.001
31,0.8,0.113,0.8,1.0,0.001,0.2,1.0,0.0
41,0.8,0.113,0.8,1.0,0.0,0.2,1.0,0.0
51,0.8,0.113,0.8,1.0,0.0,0.2,1.0,0.0
3,0.84,0.084,0.84,0.942,0.0,0.102,0.946,0.004
5,0.84,0.084,0.84,0.96,0.009,0.12,0.973,0.013
7,0.84,0.084,0.84,0.986,0.013,0.146,0.989,0.003
9,0.84,0.084,0.84,0.997,0.006,0.157,0.999,0.002
11,0.84,0.084,0.84,0.992,-0.003,0.152,0.998,0.006
21,0.84,0.084,0.84,1.0,0.004,0.16,1.0,0.0
31,0.84,0.084,0.84,1.0,0.0,0.16,1.0,0.0
41,0.84,0.084,0.84,1.0,0.0,0.16,1.0,0.0
51,0.84,0.084,0.84,1.0,0.0,0.16,1.0,0.0
3,0.85,0.029,0.85,0.947,0.0,0.097,0.947,0.0
5,0.85,0.029,0.85,0.983,0.018,0.133,0.983,0.0
7,0.85,0.029,0.85,0.981,-0.001,0.131,0.981,0.0
9,0.85,0.029,0.85,0.996,0.008,0.146,0.996,0.0
11,0.85,0.029,0.85,1.0,0.002,0.15,1.0,0.0
21,0.85,0.029,0.85,1.0,0.0,0.15,1.0,0.0
31,0.85,0.029,0.85,1.0,0.0,0.15,1.0,0.0
41,0.85,0.029,0.85,1.0,0.0,0.15,1.0,0.0
51,0.85,0.029,0.85,1.0,0.0,0.15,1.0,0.0
3,0.9,0.055,0.9,0.983,0.0,0.083,0.982,-0.001
5,0.9,0.055,0.9,0.996,0.007,0.096,0.996,0.0
7,0.9,0.055,0.9,0.998,0.001,0.098,0.997,-0.001
9,0.9,0.055,0.9,0.999,0.001,0.099,1.0,0.001
11,0.9,0.055,0.9,1.0,0.001,0.1,1.0,0.0
21,0.9,0.055,0.9,1.0,0.0,0.1,1.0,0.0
31,0.9,0.055,0.9,1.0,0.0,0.1,1.0,0.0
41,0.9,0.055,0.9,1.0,0.0,0.1,1.0,0.0
51,0.9,0.055,0.9,1.0,0.0,0.1,1.0,0.0
3,0.94,0.026,0.94,0.981,0.0,0.041,0.981,0.0
5,0.94,0.026,0.94,0.999,0.009,0.059,0.999,0.0
7,0.94,0.026,0.94,0.999,0.0,0.059,0.999,0.0
9,0.94,0.026,0.94,1.0,0.001,0.06,1.0,0.0
11,0.94,0.026,0.94,1.0,0.0,0.06,1.0,0.0
21,0.94,0.026,0.94,1.0,0.0,0.06,1.0,0.0
31,0.94,0.026,0.94,1.0,0.0,0.06,1.0,0.0
41,0.94,0.026,0.94,1.0,0.0,0.06,1.0,0.0
51,0.94,0.026,0.94,1.0,0.0,0.06,1.0,0.0
