voters,mean,std,true_mean,majority_correct,d_majority_correct_d_voters,majority_correct_minus_true_mean,optimal_correct,optimal_correct_minus_majority_correct
21.0,0.55,0.08,0.5862472077293333,0.767,0.016,0.181,0.818,0.051
31.0,0.55,0.08,0.5862472077293333,0.809,0.021,0.223,0.849,0.04
41.0,0.55,0.08,0.5862472077293333,0.865,0.028,0.279,0.921,0.056
51.0,0.55,0.08,0.5862472077293333,0.896,0.016,0.31,0.936,0.04
3.0,0.55,0.09,0.5937931619750162,0.653,0.0,0.059,0.65,-0.003
5.0,0.55,0.09,0.5937931619750162,0.675,0.011,0.081,0.699,0.024
7.0,0.55,0.09,0.5937931619750162,0.701,0.013,0.107,0.726,0.025
9.0,0.55,0.09,0.5937931619750162,0.731,0.015,0.137,0.762,0.031
11.0,0.55,0.09,0.5937931619750162,0.752,0.011,0.158,0.784,0.032
21.0,0.55,0.09,0.5937931619750162,0.818,0.033,0.224,0.861,0.043
31.0,0.55,0.09,0.5937931619750162,0.836,0.009,0.242,0.88,0.044
41.0,0.55,0.09,0.5937931619750162,0.883,0.024,0.289,0.925,0.042
51.0,0.55,0.09,0.5937931619750162,0.924,0.021,0.33,0.96,0.036
3.0,0.55,0.12,0.6168295337958563,0.687,0.0,0.07,0.716,0.029
5.0,0.55,0.12,0.6168295337958563,0.719,0.016,0.102,0.731,0.012
7.0,0.55,0.12,0.6168295337958563,0.741,0.011,0.124,0.763,0.022
9.0,0.55,0.12,0.6168295337958563,0.773,0.016,0.156,0.821,0.048
11.0,0.55,0.12,0.6168295337958563,0.772,-0.001,0.155,0.826,0.054
21.0,0.55,0.12,0.6168295337958563,0.869,0.048,0.252,0.928,0.059
31.0,0.55,0.12,0.6168295337958563,0.897,0.014,0.28,0.941,0.044
41.0,0.55,0.12,0.6168295337958563,0.943,0.023,0.326,0.979,0.036
51.0,0.55,0.12,0.6168295337958563,0.945,0.001,0.328,0.986,0.041
3.0,0.55,0.13,0.6245010983283475,0.686,0.0,0.061,0.705,0.019
5.0,0.55,0.13,0.6245010983283475,0.744,0.029,0.119,0.777,0.033
7.0,0.55,0.13,0.6245010983283475,0.748,0.002,0.123,0.799,0.051
9.0,0.55,0.13,0.6245010983283475,0.801,0.027,0.176,0.851,0.05
11.0,0.55,0.13,0.6245010983283475,0.814,0.006,0.189,0.874,0.06
21.0,0.55,0.13,0.6245010983283475,0.882,0.034,0.257,0.932,0.05
31.0,0.55,0.13,0.6245010983283475,0.927,0.023,0.302,0.966,0.039
41.0,0.55,0.13,0.6245010983283475,0.955,0.014,0.33,0.987,0.032
51.0,0.55,0.13,0.6245010983283475,0.961,0.003,0.336,0.982,0.021
3.0,0.55,0.14,0.6320664588183131,0.696,0.0,0.064,0.735,0.039
5.0,0.55,0.14,0.6320664588183131,0.734,0.019,0.102,0.758,0.024
7.0,0.55,0.14,0.6320664588183131,0.759,0.013,0.127,0.798,0.039
9.0,0.55,0.14,0.6320664588183131,0.778,0.01,0.146,0.826,0.048
11.0,0.55,0.14,0.6320664588183131,0.804,0.013,0.172,0.862,0.058
21.0,0.55,0.14,0.6320664588183131,0.904,0.05,0.272,0.944,0.04
31.0,0.55,0.14,0.6320664588183131,0.931,0.014,0.299,0.975,0.044
41.0,0.55,0.14,0.6320664588183131,0.965,0.017,0.333,0.983,0.018
51.0,0.55,0.14,0.6320664588183131,0.975,0.005,0.343,0.991,0.016
3.0,0.6,0.02,0.6000000381320322,0.665,0.0,0.065,0.665,0.0
5.0,0.6,0.02,0.6000000381320322,0.674,0.005,0.074,0.671,-0.003
7.0,0.6,0.02,0.6000000381320322,0.72,0.023,0.12,0.72,0.0
9.0,0.6,0.02,0.6000000381320322,0.728,0.004,0.128,0.733,0.005
11.0,0.6,0.02,0.6000000381320322,0.763,0.018,0.163,0.77,0.007
21.0,0.6,0.02,0.6000000381320322,0.815,0.026,0.215,0.822,0.007
31.0,0.6,0.02,0.6000000381320322,0.852,0.019,0.252,0.867,0.015
41.0,0.6,0.02,0.6000000381320322,0.903,0.026,0.303,0.906,0.003
51.0,0.6,0.02,0.6000000381320322,0.928,0.013,0.328,0.931,0.003
3.0,0.6,0.03,0.6000517020621967,0.623,0.0,0.023,0.629,0.006
5.0,0.6,0.03,0.6000517020621967,0.668,0.023,0.068,0.668,0.0
7.0,0.6,0.03,0.6000517020621967,0.682,0.007,0.082,0.686,0.004
9.0,0.6,0.03,0.6000517020621967,0.743,0.03,0.143,0.754,0.011
11.0,0.6,0.03,0.6000517020621967,0.747,0.002,0.147,0.759,0.012
21.0,0.6,0.03,0.6000517020621967,0.84,0.046,0.24,0.839,-0.001
31.0,0.6,0.03,0.6000517020621967,0.866,0.013,0.266,0.868,0.002
41.0,0.6,0.03,0.6000517020621967,0.908,0.021,0.308,0.921,0.013
51.0,0.6,0.03,0.6000517020621967,0.937,0.015,0.337,0.945,0.008
3.0,0.6,0.04,0.6007511217813778,0.663,0.0,0.062,0.668,0.005
5.0,0.6,0.04,0.6007511217813778,0.673,0.005,0.072,0.69,0.017
7.0,0.6,0.04,0.6007511217813778,0.717,0.022,0.116,0.718,0.001
9.0,0.6,0.04,0.6007511217813778,0.751,0.017,0.15,0.744,-0.007
11.0,0.6,0.04,0.6007511217813778,0.737,-0.007,0.136,0.753,0.016
21.0,0.6,0.04,0.6007511217813778,0.844,0.053,0.243,0.867,0.023
31.0,0.6,0.04,0.6007511217813778,0.861,0.009,0.26,0.88,0.019
41.0,0.6,0.04,0.6007511217813778,0.917,0.028,0.316,0.924,0.007
51.0,0.6,0.04,0.6007511217813778,0.938,0.01,0.337,0.946,0.008
3.0,0.6,0.07,0.6111490891665544,0.661,0.0,0.05,0.685,0.024
5.0,0.6,0.07,0.6111490891665544,0.698,0.018,0.087,0.701,0.003
7.0,0.6,0.07,0.6111490891665544,0.728,0.015,0.117,0.747,0.019
9.0,0.6,0.07,0.6111490891665544,0.754,0.013,0.143,0.795,0.041
11.0,0.6,0.07,0.6111490891665544,0.794,0.02,0.183,0.818,0.024
21.0,0.6,0.07,0.6111490891665544,0.84,0.023,0.229,0.869,0.029
31.0,0.6,0.07,0.6111490891665544,0.887,0.024,0.276,0.931,0.044
41.0,0.6,0.07,0.6111490891665544,0.933,0.023,0.322,0.952,0.019
51.0,0.6,0.07,0.6111490891665544,0.951,0.009,0.34,0.966,0.015
3.0,0.6,0.08,0.6166366939012383,0.69,0.0,0.073,0.683,-0.007
5.0,0.6,0.08,0.6166366939012383,0.707,0.009,0.09,0.734,0.027
7.0,0.6,0.08,0.6166366939012383,0.762,0.028,0.145,0.779,0.017
9.0,0.6,0.08,0.6166366939012383,0.774,0.006,0.157,0.8,0.026
11.0,0.6,0.08,0.6166366939012383,0.781,0.004,0.164,0.822,0.041
21.0,0.6,0.08,0.6166366939012383,0.86,0.039,0.243,0.898,0.038
31.0,0.6,0.08,0.6166366939012383,0.903,0.022,0.286,0.937,0.034
41.0,0.6,0.08,0.6166366939012383,0.939,0.018,0.322,0.961,0.022
51.0,0.6,0.08,0.6166366939012383,0.946,0.004,0.329,0.971,0.025
3.0,0.6,0.09,0.6226820477205374,0.701,0.0,0.078,0.726,0.025
5.0,0.6,0.09,0.6226820477205374,0.721,0.01,0.098,0.757,0.036
7.0,0.6,0.09,0.6226820477205374,0.734,0.007,0.111,0.782,0.048
9.0,0.6,0.09,0.6226820477205374,0.773,0.02,0.15,0.805,0.032
11.0,0.6,0.09,0.6226820477205374,0.768,-0.003,0.145,0.816,0.048
21.0,0.6,0.09,0.6226820477205374,0.877,0.054,0.254,0.926,0.049
31.0,0.6,0.09,0.6226820477205374,0.936,0.03,0.313,0.954,0.018
41.0,0.6,0.09,0.6226820477205374,0.96,0.012,0.337,0.982,0.022
51.0,0.6,0.09,0.6226820477205374,0.959,-0.001,0.336,0.984,0.025
3.0,0.6,0.12,0.6426152912431068,0.716,0.0,0.073,0.733,0.017
5.0,0.6,0.12,0.6426152912431068,0.753,0.019,0.11,0.783,0.03
7.0,0.6,0.12,0.6426152912431068,0.774,0.011,0.131,0.823,0.049
9.0,0.6,0.12,0.6426152912431068,0.804,0.015,0.161,0.872,0.068
11.0,0.6,0.12,0.6426152912431068,0.832,0.014,0.189,0.878,0.046
21.0,0.6,0.12,0.6426152912431068,0.921,0.045,0.278,0.961,0.04
31.0,0.6,0.12,0.6426152912431068,0.957,0.018,0.314,0.976,0.019
41.0,0.6,0.12,0.6426152912431068,0.972,0.008,0.329,0.991,0.019
51.0,0.6,0.12,0.6426152912431068,0.972,0.0,0.329,0.991,0.019
3.0,0.6,0.13,0.6494238373590417,0.715,0.0,0.066,0.735,0.02
5.0,0.6,0.13,0.6494238373590417,0.751,0.018,0.102,0.792,0.041
7.0,0.6,0.13,0.6494238373590417,0.8,0.025,0.151,0.847,0.047
9.0,0.6,0.13,0.6494238373590417,0.82,0.01,0.171,0.866,0.046
11.0,0.6,0.13,0.6494238373590417,0.835,0.008,0.186,0.875,0.04
21.0,0.6,0.13,0.6494238373590417,0.925,0.045,0.276,0.958,0.033
31.0,0.6,0.13,0.6494238373590417,0.964,0.019,0.315,0.988,0.024
41.0,0.6,0.13,0.6494238373590417,0.97,0.003,0.321,0.994,0.024
51.0,0.6,0.13,0.6494238373590417,0.988,0.009,0.339,0.997,0.009
3.0,0.6,0.14,0.6561081833122446,0.748,0.0,0.092,0.761,0.013
5.0,0.6,0.14,0.6561081833122446,0.774,0.013,0.118,0.83,0.056
7.0,0.6,0.14,0.6561081833122446,0.826,0.026,0.17,0.861,0.035
9.0,0.6,0.14,0.6561081833122446,0.836,0.005,0.18,0.895,0.059
11.0,0.6,0.14,0.6561081833122446,0.867,0.016,0.211,0.912,0.045
21.0,0.6,0.14,0.6561081833122446,0.937,0.035,0.281,0.966,0.029
31.0,0.6,0.14,0.6561081833122446,0.965,0.014,0.309,0.989,0.024
41.0,0.6,0.14,0.6561081833122446,0.976,0.006,0.32,0.996,0.02
51.0,0.6,0.14,0.6561081833122446,0.991,0.008,0.335,0.997,0.006
3.0,0.65,0.02,0.6500000000000071,0.69,0.0,0.04,0.69,0.0
5.0,0.65,0.02,0.6500000000000071,0.758,0.034,0.108,0.758,0.0
7.0,0.65,0.02,0.6500000000000071,0.805,0.024,0.155,0.803,-0.002
9.0,0.65,0.02,0.6500000000000071,0.823,0.009,0.173,0.824,0.001
11.0,0.65,0.02,0.6500000000000071,0.833,0.005,0.183,0.831,-0.002
21.0,0.65,0.02,0.6500000000000071,0.925,0.046,0.275,0.926,0.001
31.0,0.65,0.02,0.6500000000000071,0.962,0.018,0.312,0.962,0.0
41.0,0.65,0.02,0.6500000000000071,0.976,0.007,0.326,0.977,0.001
51.0,0.65,0.02,0.6500000000000071,0.988,0.006,0.338,0.987,-0.001
3.0,0.65,0.03,0.6500000526613009,0.729,0.0,0.079,0.727,-0.002
5.0,0.65,0.03,0.6500000526613009,0.749,0.01,0.099,0.749,0.0
7.0,0.65,0.03,0.6500000526613009,0.792,0.022,0.142,0.794,0.002
9.0,0.65,0.03,0.6500000526613009,0.814,0.011,0.164,0.822,0.008
11.0,0.65,0.03,0.6500000526613009,0.83,0.008,0.18,0.827,-0.003
21.0,0.65,0.03,0.6500000526613009,0.92,0.045,0.27,0.928,0.008
31.0,0.65,0.03,0.6500000526613009,0.953,0.016,0.303,0.956,0.003
41.0,0.65,0.03,0.6500000526613009,0.982,0.015,0.332,0.985,0.003
51.0,0.65,0.03,0.6500000526613009,0.984,0.001,0.334,0.987,0.003
3.0,0.65,0.04,0.6500154866964568,0.698,0.0,0.048,0.694,-0.004
5.0,0.65,0.04,0.6500154866964568,0.768,0.035,0.118,0.77,0.002
7.0,0.65,0.04,0.6500154866964568,0.79,0.011,0.14,0.785,-0.005
9.0,0.65,0.04,0.6500154866964568,0.824,0.017,0.174,0.82,-0.004
11.0,0.65,0.04,0.6500154866964568,0.864,0.02,0.214,0.86,-0.004
21.0,0.65,0.04,0.6500154866964568,0.931,0.034,0.281,0.933,0.002
31.0,0.65,0.04,0.6500154866964568,0.963,0.016,0.313,0.971,0.008
41.0,0.65,0.04,0.6500154866964568,0.974,0.006,0.324,0.977,0.003
51.0,0.65,0.04,0.6500154866964568,0.99,0.008,0.34,0.99,0.0
3.0,0.65,0.07,0.6529473169476452,0.726,0.0,0.073,0.731,0.005
5.0,0.65,0.07,0.6529473169476452,0.76,0.017,0.107,0.77,0.01
7.0,0.65,0.07,0.6529473169476452,0.818,0.029,0.165,0.828,0.01
9.0,0.65,0.07,0.6529473169476452,0.846,0.014,0.193,0.862,0.016
11.0,0.65,0.07,0.6529473169476452,0.852,0.003,0.199,0.873,0.021
21.0,0.65,0.07,0.6529473169476452,0.932,0.04,0.279,0.952,0.02
31.0,0.65,0.07,0.6529473169476452,0.966,0.017,0.313,0.976,0.01
41.0,0.65,0.07,0.6529473169476452,0.979,0.007,0.326,0.989,0.01
51.0,0.65,0.07,0.6529473169476452,0.994,0.008,0.341,0.994,0.0
3.0,0.65,0.08,0.6558123768511287,0.705,0.0,0.049,0.726,0.021
5.0,0.65,0.08,0.6558123768511287,0.788,0.042,0.132,0.784,-0.004
7.0,0.65,0.08,0.6558123768511287,0.81,0.011,0.154,0.842,0.032
9.0,0.65,0.08,0.6558123768511287,0.846,0.018,0.19,0.876,0.03
11.0,0.65,0.08,0.6558123768511287,0.867,0.011,0.211,0.892,0.025
21.0,0.65,0.08,0.6558123768511287,0.936,0.035,0.28,0.946,0.01
31.0,0.65,0.08,0.6558123768511287,0.972,0.018,0.316,0.98,0.008
41.0,0.65,0.08,0.6558123768511287,0.985,0.007,0.329,0.993,0.008
51.0,0.65,0.08,0.6558123768511287,0.991,0.003,0.335,0.995,0.004
3.0,0.65,0.09,0.6595686969520812,0.728,0.0,0.068,0.764,0.036
5.0,0.65,0.09,0.6595686969520812,0.778,0.025,0.118,0.809,0.031
7.0,0.65,0.09,0.6595686969520812,0.796,0.009,0.136,0.829,0.033
9.0,0.65,0.09,0.6595686969520812,0.839,0.021,0.179,0.87,0.031
11.0,0.65,0.09,0.6595686969520812,0.865,0.013,0.205,0.883,0.018
21.0,0.65,0.09,0.6595686969520812,0.946,0.04,0.286,0.978,0.032
31.0,0.65,0.09,0.6595686969520812,0.966,0.01,0.306,0.981,0.015
41.0,0.65,0.09,0.6595686969520812,0.982,0.008,0.322,0.994,0.012
51.0,0.65,0.09,0.6595686969520812,0.989,0.004,0.329,0.997,0.008
3.0,0.65,0.12,0.6740733103763064,0.757,0.0,0.083,0.78,0.023
5.0,0.65,0.12,0.6740733103763064,0.777,0.01,0.103,0.807,0.03
7.0,0.65,0.12,0.6740733103763064,0.819,0.021,0.145,0.85,0.031
9.0,0.65,0.12,0.6740733103763064,0.862,0.022,0.188,0.912,0.05
11.0,0.65,0.12,0.6740733103763064,0.866,0.002,0.192,0.917,0.051
21.0,0.65,0.12,0.6740733103763064,0.947,0.04,0.273,0.971,0.024
31.0,0.65,0.12,0.6740733103763064,0.982,0.018,0.308,0.996,0.014
41.0,0.65,0.12,0.6740733103763064,0.993,0.006,0.319,0.998,0.005
51.0,0.65,0.12,0.6740733103763064,0.994,0.001,0.32,1.0,0.006
3.0,0.65,0.13,0.6792683218890445,0.775,0.0,0.096,0.79,0.015
5.0,0.65,0.13,0.6792683218890445,0.814,0.019,0.135,0.835,0.021
7.0,0.65,0.13,0.6792683218890445,0.847,0.017,0.168,0.878,0.031
9.0,0.65,0.13,0.6792683218890445,0.872,0.013,0.193,0.899,0.027
11.0,0.65,0.13,0.6792683218890445,0.898,0.013,0.219,0.928,0.03
21.0,0.65,0.13,0.6792683218890445,0.974,0.038,0.295,0.985,0.011
31.0,0.65,0.13,0.6792683218890445,0.979,0.003,0.3,0.992,0.013
41.0,0.65,0.13,0.6792683218890445,0.993,0.007,0.314,0.998,0.005
51.0,0.65,0.13,0.6792683218890445,0.994,0.001,0.315,0.999,0.005
3.0,0.65,0.14,0.6843538717077884,0.765,0.0,0.081,0.812,0.047
5.0,0.65,0.14,0.6843538717077884,0.814,0.024,0.13,0.846,0.032
7.0,0.65,0.14,0.6843538717077884,0.861,0.024,0.177,0.905,0.044
9.0,0.65,0.14,0.6843538717077884,0.89,0.015,0.206,0.932,0.042
11.0,0.65,0.14,0.6843538717077884,0.902,0.006,0.218,0.928,0.026
21.0,0.65,0.14,0.6843538717077884,0.961,0.029,0.277,0.987,0.026
31.0,0.65,0.14,0.6843538717077884,0.986,0.013,0.302,0.998,0.012
41.0,0.65,0.14,0.6843538717077884,0.991,0.003,0.307,1.0,0.009
51.0,0.65,0.14,0.6843538717077884,0.997,0.003,0.313,1.0,0.003
3.0,0.7,0.02,0.7,0.769,0.0,0.069,0.769,0.0
5.0,0.7,0.02,0.7,0.833,0.032,0.133,0.833,0.0
7.0,0.7,0.02,0.7,0.861,0.014,0.161,0.861,0.0
9.0,0.7,0.02,0.7,0.887,0.013,0.187,0.887,0.0
11.0,0.7,0.02,0.7,0.913,0.013,0.213,0.913,0.0
21.0,0.7,0.02,0.7,0.972,0.029,0.272,0.972,0.0
31.0,0.7,0.02,0.7,0.988,0.008,0.288,0.989,0.001
41.0,0.7,0.02,0.7,1.0,0.006,0.3,1.0,0.0
51.0,0.7,0.02,0.7,0.998,-0.001,0.298,0.998,0.0
3.0,0.7,0.03,0.7000000000033366,0.766,0.0,0.066,0.766,0.0
5.0,0.7,0.03,0.7000000000033366,0.837,0.035,0.137,0.838,0.001
7.0,0.7,0.03,0.7000000000033366,0.867,0.015,0.167,0.868,0.001
9.0,0.7,0.03,0.7000000000033366,0.894,0.014,0.194,0.894,0.0
11.0,0.7,0.03,0.7000000000033366,0.909,0.008,0.209,0.905,-0.004
21.0,0.7,0.03,0.7000000000033366,0.977,0.034,0.277,0.975,-0.002
31.0,0.7,0.03,0.7000000000033366,0.982,0.003,0.282,0.984,0.002
41.0,0.7,0.03,0.7000000000033366,0.993,0.006,0.293,0.994,0.001
51.0,0.7,0.03,0.7000000000033366,0.999,0.003,0.299,0.998,-0.001
3.0,0.7,0.04,0.7000000673659118,0.79,0.0,0.09,0.79,0.0
5.0,0.7,0.04,0.7000000673659118,0.839,0.024,0.139,0.842,0.003
7.0,0.7,0.04,0.7000000673659118,0.864,0.013,0.164,0.872,0.008
9.0,0.7,0.04,0.7000000673659118,0.905,0.021,0.205,0.904,-0.001
11.0,0.7,0.04,0.7000000673659118,0.93,0.013,0.23,0.923,-0.007
21.0,0.7,0.04,0.7000000673659118,0.975,0.022,0.275,0.973,-0.002
31.0,0.7,0.04,0.7000000673659118,0.996,0.011,0.296,0.995,-0.001
41.0,0.7,0.04,0.7000000673659118,0.997,0.001,0.297,0.998,0.001
51.0,0.7,0.04,0.7000000673659118,0.999,0.001,0.299,1.0,0.001
3.0,0.7,0.07,0.7004890243522323,0.78,0.0,0.08,0.784,0.004
5.0,0.7,0.07,0.7004890243522323,0.832,0.026,0.132,0.831,-0.001
7.0,0.7,0.07,0.7004890243522323,0.89,0.029,0.19,0.892,0.002
9.0,0.7,0.07,0.7004890243522323,0.903,0.007,0.203,0.913,0.01
11.0,0.7,0.07,0.7004890243522323,0.913,0.005,0.213,0.925,0.012
21.0,0.7,0.07,0.7004890243522323,0.979,0.033,0.279,0.985,0.006
31.0,0.7,0.07,0.7004890243522323,0.993,0.007,0.293,0.998,0.005
41.0,0.7,0.07,0.7004890243522323,0.997,0.002,0.297,0.998,0.001
51.0,0.7,0.07,0.7004890243522323,0.998,0.001,0.298,0.998,0.0
3.0,0.7,0.08,0.7014264121509118,0.792,0.0,0.091,0.801,0.009
5.0,0.7,0.08,0.7014264121509118,0.823,0.015,0.122,0.837,0.014
7.0,0.7,0.08,0.7014264121509118,0.89,0.034,0.189,0.899,0.009
9.0,0.7,0.08,0.7014264121509118,0.9,0.005,0.199,0.902,0.002
11.0,0.7,0.08,0.7014264121509118,0.93,0.015,0.229,0.944,0.014
21.0,0.7,0.08,0.7014264121509118,0.979,0.024,0.278,0.991,0.012
31.0,0.7,0.08,0.7014264121509118,0.991,0.006,0.29,0.995,0.004
41.0,0.7,0.08,0.7014264121509118,0.996,0.003,0.295,0.998,0.002
51.0,0.7,0.08,0.7014264121509118,1.0,0.002,0.299,1.0,0.0
3.0,0.7,0.09,0.7030134592133441,0.812,0.0,0.109,0.814,0.002
5.0,0.7,0.09,0.7030134592133441,0.842,0.015,0.139,0.873,0.031
7.0,0.7,0.09,0.7030134592133441,0.893,0.026,0.19,0.908,0.015
9.0,0.7,0.09,0.7030134592133441,0.905,0.006,0.202,0.928,0.023
11.0,0.7,0.09,0.7030134592133441,0.932,0.014,0.229,0.953,0.021
21.0,0.7,0.09,0.7030134592133441,0.972,0.02,0.269,0.985,0.013
31.0,0.7,0.09,0.7030134592133441,0.995,0.012,0.292,0.998,0.003
41.0,0.7,0.09,0.7030134592133441,0.999,0.002,0.296,1.0,0.001
51.0,0.7,0.09,0.7030134592133441,0.998,-0.001,0.295,1.0,0.002
3.0,0.7,0.12,0.7105354504251368,0.806,0.0,0.095,0.815,0.009
5.0,0.7,0.12,0.7105354504251368,0.851,0.022,0.14,0.886,0.035
7.0,0.7,0.12,0.7105354504251368,0.896,0.023,0.185,0.934,0.038
9.0,0.7,0.12,0.7105354504251368,0.919,0.012,0.208,0.937,0.018
11.0,0.7,0.12,0.7105354504251368,0.924,0.003,0.213,0.957,0.033
21.0,0.7,0.12,0.7105354504251368,0.993,0.034,0.282,0.997,0.004
31.0,0.7,0.12,0.7105354504251368,0.997,0.002,0.286,1.0,0.003
41.0,0.7,0.12,0.7105354504251368,0.999,0.001,0.288,1.0,0.001
51.0,0.7,0.12,0.7105354504251368,1.0,0.001,0.289,1.0,0.0
3.0,0.7,0.13,0.7133724283023914,0.816,0.0,0.103,0.837,0.021
5.0,0.7,0.13,0.7133724283023914,0.865,0.025,0.152,0.894,0.029
7.0,0.7,0.13,0.7133724283023914,0.887,0.011,0.174,0.912,0.025
9.0,0.7,0.13,0.7133724283023914,0.926,0.02,0.213,0.951,0.025
11.0,0.7,0.13,0.7133724283023914,0.923,-0.002,0.21,0.956,0.033
21.0,0.7,0.13,0.7133724283023914,0.979,0.028,0.266,0.991,0.012
31.0,0.7,0.13,0.7133724283023914,0.988,0.005,0.275,0.997,0.009
41.0,0.7,0.13,0.7133724283023914,0.999,0.006,0.286,1.0,0.001
51.0,0.7,0.13,0.7133724283023914,1.0,0.001,0.287,1.0,0.0
3.0,0.7,0.14,0.7161453463054095,0.802,0.0,0.086,0.844,0.042
5.0,0.7,0.14,0.7161453463054095,0.855,0.026,0.139,0.878,0.023
7.0,0.7,0.14,0.7161453463054095,0.889,0.017,0.173,0.93,0.041
9.0,0.7,0.14,0.7161453463054095,0.924,0.018,0.208,0.944,0.02
11.0,0.7,0.14,0.7161453463054095,0.934,0.005,0.218,0.963,0.029
21.0,0.7,0.14,0.7161453463054095,0.983,0.024,0.267,0.991,0.008
31.0,0.7,0.14,0.7161453463054095,0.997,0.007,0.281,0.999,0.002
41.0,0.7,0.14,0.7161453463054095,0.998,0.001,0.282,1.0,0.002
51.0,0.7,0.14,0.7161453463054095,0.999,0.001,0.283,1.0,0.001
3.0,0.75,0.02,0.75,0.844,0.0,0.094,0.844,0.0
5.0,0.75,0.02,0.75,0.891,0.024,0.141,0.891,0.0
7.0,0.75,0.02,0.75,0.923,0.016,0.173,0.923,0.0
9.0,0.75,0.02,0.75,0.952,0.014,0.202,0.952,0.0
11.0,0.75,0.02,0.75,0.972,0.01,0.222,0.972,0.0
21.0,0.75,0.02,0.75,0.998,0.013,0.248,0.998,0.0
31.0,0.75,0.02,0.75,0.999,0.001,0.249,0.999,0.0
41.0,0.75,0.02,0.75,1.0,0.001,0.25,1.0,0.0
51.0,0.75,0.02,0.75,1.0,0.0,0.25,1.0,0.0
3.0,0.75,0.03,0.75,0.835,0.0,0.085,0.835,0.0
5.0,0.75,0.03,0.75,0.897,0.031,0.147,0.897,0.0
7.0,0.75,0.03,0.75,0.929,0.016,0.179,0.931,0.002
9.0,0.75,0.03,0.75,0.96,0.015,0.21,0.962,0.002
11.0,0.75,0.03,0.75,0.97,0.005,0.22,0.969,-0.001
21.0,0.75,0.03,0.75,0.995,0.013,0.245,0.995,0.0
31.0,0.75,0.03,0.75,0.999,0.002,0.249,0.999,0.0
